path,className1,className2,breadcrumbPath1,breadcrumbPath2,breadcrumbName1,breadcrumbName2,name,title,levelOfAnalysis,sources,timeliness,tableHeader,level5,level4,level3,level2,level1
/documentation/,county,county,,,,,County,County Overall Classification,,,,Conditions,NAWG Triggers Present >= 1,Average risk of sub-components >= Very High,Average risk of sub-components >= High,Average risk of sub-components >= Moderate,Above conditions are not met
/documentation/nawg/,nawg,nawg,,,,,Needs Analysis Working Group,Needs Analysis Working Group,,,,Conditions,NAWG Triggers Present >= 1,N/A,N/A,N/A,N/A
/documentation/fsl/,a,fsl,,,,,Food Security & Livelihoods,Food Security & Livelihoods,,,,Conditions,N/A,2 sub-components >= Very High,2 sub-components >= High,2 sub-components >= Moderate,2 sub-components >= Low
/documentation/fsl/ipc-food-insecurity/,a,ipc-food-insecurity,/documentation/fsl/,,Food Security & Livelihoods,,IPC Acute Food Insecurity,IPC Acute Food Insecurity,,,,Conditions,N/A,IPC Food Insecurity Phase >= 4,IPC Food Insecurity Phase 3,IPC Food Insecurity Phase 2,IPC Food Insecurity Phase 1
/documentation/fsl/food-access/,a-1,food-access,/documentation/fsl/,,Food Security & Livelihoods,,Food Availability & Access,Food Availability & Access,,,,Conditions,N/A,3 indicators >= Very High,2 indicators >= Very High;3 indicators >= High,1 indicator >= Very High and 1 indicator >= Moderate;2 indicators >= High;3 indicators >= Moderate,3 indicators >= Low
/documentation/fsl/agriculture/,a-2,agriculture,/documentation/fsl/,,Food Security & Livelihoods,,Agriculture,Agriculture,,,,Conditions,N/A,2 indicators >= Very High,1 indicator >= Very High;2 indicators >= High,2 indicators >= Moderate,2 indicators >= Low
/documentation/fsl/livestock/,a-3,livestock,/documentation/fsl/,,Food Security & Livelihoods,,Livestock,Livestock,,,,Conditions,N/A,2 indicators >= Very High,1 indicator >= Very High;2 indicators >= High,2 indicators >= Moderate,2 indicators >= Low
/documentation/fsl/markets/,a-4,markets,/documentation/fsl/,,Food Security & Livelihoods,,Markets,Markets,,,,Conditions,N/A,2 indicators >= Very High,1 indicator >= Very High;2 indicators >= High,2 indicators >= Moderate,2 indicators >= Low
/documentation/fsl/climate/,a-5,climate,/documentation/fsl/,,Food Security & Livelihoods,,Climate,Climate,,,,Conditions,N/A,1 indicator >= Very High,1 indicator >= High,1 indicator >= Moderate,1 indicator >= Low
/documentation/wash/,b,wash,,,,,Water Sanitation & Hygiene,Water Sanitation & Hygiene,,,,Conditions,N/A,Cholera risk >= Very High;4 indicators >= Very High;2 indicators >= Very High and 2 indicators >= High,2 indicators >= Very High;2 indicators >= High,1 indicator >= High;3 indicators >= Moderate,3 indicators >= Low
/documentation/health/,c,health,,,,,Health,Health,,,,Conditions,N/A,Cholera or Ebola risk >= Very High;2 indicators >= Very High,1 indicator >= Very High;2 indicators >= High,1 indicator >= High;2 indicators >= Moderate,2 indicators >= Low
/documentation/nutrition/,d,nutrition,,,,,Nutrition,Nutrition,,,,Conditions,N/A,IPC Malnutrition Phase >= 4,IPC Malnutrition Phase 3,IPC Malnutrition Phase 2,IPC Malnutrition Phase 1
/documentation/nutrition/ipc-malnutrition/,d,ipc-malnutrition,/documentation/nutrition/,,Nutrition,,IPC Acute Malnutrition,IPC Acute Malnutrition,,,,Conditions,N/A,IPC Malnutrition Phase >= 4,IPC Malnutrition Phase 3,IPC Malnutrition Phase 2,IPC Malnutrition Phase 1
/documentation/fsl/food-access/hunger-severity-shock/,a-1,hunger-severity-shock,/documentation/fsl/,/documentation/fsl/food-access/,Food Security & Livelihoods,Food Availability & Access,Hunger Severity Shock,Hunger Severity Shock,Settlement,REACH Area of Knowledge,Monthly,Percentage of Assessed Settlements Reporting,N/A,Hunger is the worst >= 20%,Hunger is the worst or hunger is bad >= 40%,Hunger is the worst or hunger is bad >= 20%,Above conditions are not met
/documentation/fsl/food-access/wild-foods-making-people-sick/,a-1,wild-foods-making-people-sick,/documentation/fsl/,/documentation/fsl/food-access/,Food Security & Livelihoods,Food Availability & Access,Wild Foods Making People Sick,Wild Foods In Main Meal and Making People Sick,Settlement,REACH Area of Knowledge,Monthly,Percentage of Assessed Settlements Reporting,N/A,Wild foods consumed that make people sick >= 30%,Wild foods consumed that make people sick >= 20%,Wild foods consumed that make people sick >= 10%,Above conditions are not met
/documentation/fsl/food-access/only-children-eating/,a-1,only-children-eating,/documentation/fsl/,/documentation/fsl/food-access/,Food Security & Livelihoods,Food Availability & Access,Only Children Eating,Coping Strategy - Adults Skipping Meals for Children to Eat,Settlement,REACH Area of Knowledge,Monthly,Percentage of Assessed Settlements Reporting,N/A,Only children eat some days >= 40%,Only children eat some days >= 20%,Only children eat some days >= 10%,Above conditions are not met
/documentation/fsl/food-access/all-day-without-eating/,a-1,all-day-without-eating,/documentation/fsl/,/documentation/fsl/food-access/,Food Security & Livelihoods,Food Availability & Access,All Day Without Eating,Coping Strategy - All Day Without Eating,Settlement,REACH Area of Knowledge,Monthly,Percentage of Assessed Settlements Reporting,N/A,Skipping days without eating >= 40%,Skipping days without eating >= 20%,Skipping days without eating >= 10%,Above conditions are not met
/documentation/fsl/food-access/unsustainable-food-source/,a-1,unsustainable-food-source,/documentation/fsl/,/documentation/fsl/food-access/,Food Security & Livelihoods,Food Availability & Access,Unsustainable Food Source,Unsustainable Food Source,Settlement,REACH Area of Knowledge,Monthly,Percentage of Assessed Settlements Reporting,N/A,Primary food source is unsustainable >= 45%,Primary food source is unsustainable >= 30%,Primary food source is unsustainable >= 15%,Above conditions are not met
/documentation/fsl/agriculture/access-to-land-inputs/,a-2,access-to-land-inputs,/documentation/fsl/,/documentation/fsl/agriculture/,Food Security & Livelihoods,Agriculture,Access to Land & Inputs,Access to Land and Agriculture Inputs,Settlement,REACH Area of Knowledge,Monthly,Percentage of Assessed Settlements Reporting,N/A,No access to land and agricultural inputs >= 35%,No access to land and agricultural inputs >= 25%,No access to land and agricultural inputs >= 15%,Above conditions are not met
/documentation/fsl/agriculture/crop-production/,a-2,crop-production,/documentation/fsl/,/documentation/fsl/agriculture/,Food Security & Livelihoods,Agriculture,Crop Production,Crop Production,County,Crop and Food Security Assessment Mission (CFSAM),Annually,Counties Reporting,N/A,Decrease from 5 year average >= 30%,Decrease from 5 year average >= 20%,Decrease from 5 year average >= 10%,Above conditions are not met
/documentation/fsl/agriculture/fall-army-worm/,a-2,fall-army-worm,/documentation/fsl/,/documentation/fsl/agriculture/,Food Security & Livelihoods,Agriculture,Fall Army Worm,Fall Army Worm (FAW),Household and County,FSNMS and FAO updates,"Bi-annual, Ad-hoc",Percentage of Assessed Households Reporting,N/A,Fall Army Worm infestation >= 30%,Fall Army Worm infestation >= 20%,Fall Army Worm infestation >= 10%,Above conditions are not met
/documentation/fsl/livestock/access-possession-of-livestock/,a-3,access-possession-of-livestock,/documentation/fsl/,/documentation/fsl/livestock/,Food Security & Livelihoods,Livestock,Access & Possession of Livestock,Access & Possession of Livestock,Settlement,REACH Area of Knowledge,Monthly,Percentage of Assessed Settlements Reporting,N/A,No access or possession of livestock >= 60%,No access or possession of livestock >= 40%,No access or possession of livestock >= 20%,Above conditions are not met
